A;K;Linf
NaN;NaN;NaN
NaN;NaN;NaN
1.5523;0.057;8.6
NaN;NaN;NaN
22.806;0.191;37.707
NaN;NaN;NaN
2.2641;0.1102;6.488
2.4884;0.0878;8.95
4.4726;0.3;4.708
3.8907;0.28;4.388
6.7972;0.5;4.293
5.7317;0.25;7.24
3.5387;0.15;7.45
8.538;0.34;7.93
2.8842;0.11;8.28
NaN;NaN;NaN
NaN;NaN;NaN
12.208;0.52;7.414
2.9736;0.1695;5.54
1.8108;0.1035;5.525
26.252;0.583;14.22
16.496;0.436;11.947
1.634;0.129;4
2.8775;0.233;3.9
12.651;0.47;8.5
7.0537;0.33;6.75
4.4267;0.16;8.737
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
6.5867;0.65;3.2
NaN;NaN;NaN
NaN;NaN;NaN
2.1498;0.31;2.19
1.634;0.4;1.29
1.6055;0.26;1.95
1.4383;0.05;9.084
1.387;0.05;8.76
8.897;0.253;11.105
9.3971;0.277;10.713
7.6109;0.3016;7.969
4.7203;0.1829;8.15
6.9421;0.2992;7.327
3.4689;0.1175;9.323
3.7575;0.1069;11.1
4.8541;0.2119;7.234
6.4115;0.1811;11.18
6.1815;0.1997;9.775
3.237;0.0903;11.32
3.9704;0.0917;13.673
4.3313;0.1532;8.928
4.0095;0.1377;9.195
3.8953;0.1411;8.718
3.1569;0.1468;6.791
2.7008;0.1255;6.796
2.4281;0.0565;13.571
3.7595;0.1623;7.315
2.5463;0.0986;8.155
5.088;0.305;5.268
NaN;NaN;NaN
NaN;NaN;NaN
0.41825;0.04;3.302
NaN;NaN;NaN
8.8222;0.17;16.388
17.937;0.3008;18.831
NaN;NaN;NaN
2.0773;0.2;3.28
1.5676;0.16;3.094
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
13.817;1.8;2.424
16.783;2;2.65
0.6232;0.096;2.05
7.1604;0.365;6.195
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
2.5563;0.288;2.803
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.4717;0.063;7.377
8.1194;0.31;8.271
12.042;0.54;7.042
10.338;0.42;7.773
28.346;1.31;6.833
20.899;0.87;7.586
7.4119;0.664;3.525
5.8164;0.608;3.021
NaN;NaN;NaN
NaN;NaN;NaN
3.9313;0.114;10.89
5.7841;0.369;4.95
7.2193;0.3806;5.99
6.2156;0.331;5.93
NaN;NaN;NaN
2.0748;0.07;9.36
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;0.138;NaN
NaN;0.285;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
7.4946;0.454;5.213
NaN;NaN;NaN
9.1855;0.33;8.79
13.155;0.61;6.81
9.8914;0.38;8.22
7.6076;0.26;9.24
9.7331;0.34;9.04
10.309;0.41;7.94
NaN;NaN;NaN
5.5029;0.244;7.122
NaN;NaN;NaN
9.4568;0.352;8.484
7.8597;0.17;14.6
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
2.9032;0.16;5.73
3.622;0.165;6.932
NaN;NaN;NaN
13.481;0.58;7.34
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
8.8988;0.35;8.029
10.501;0.46;7.209
12.123;0.41;9.337
NaN;NaN;NaN
13.611;0.258;16.66
16.336;0.369;13.98
NaN;NaN;NaN
0.22024;0.097;0.717
0.11583;0.089;0.411
0.26804;0.057;1.485
NaN;NaN;NaN
5.7971;0.47;3.895
0.11342;0.044;0.814
1.7728;0.16;3.499
1.6936;0.17;3.146
1.4278;0.15;3.006
NaN;NaN;NaN
NaN;0.126;NaN
NaN;NaN;NaN
NaN;NaN;NaN
5.7339;0.31;5.841
25.686;0.98;8.277
4.7698;0.25;6.025
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.0737;0.273;1.242
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.652;0.32;17.42
19.241;0.4;15.19
17.784;0.4;14.04
4.2066;0.9;1.476
3.3257;0.289;3.634
1.9299;0.198;3.078
2.6678;0.228;3.695
NaN;NaN;NaN
5.399;0.277;6.155
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
4.4508;0.312;4.5049
4.6677;0.244;6.041
3.8848;0.191;6.423
3.794;0.178;6.731
4.5533;0.222;6.477
4.2069;0.215;6.179
7.4605;0.415;5.677
3.9697;0.209;5.998
2.8769;0.1;9.085
4.2169;0.18;7.398
4.5331;0.46;3.112
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
11.266;0.604;5.89
15.808;1.3;3.84
14.128;1.43;3.12
5.1237;0.2;8.09
4.894;0.665;2.324
50.16;1.44;11
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
5.5018;0.73;2.38
0.78597;0.365;0.68
NaN;NaN;NaN
11.682;0.9;4.099
