F_name;Linf;K;A
Sebastes alutus;42.131;0.14392;2.5106
Sebastes borealis;107;0.04;1.4037
Sebastes brevispinis;59.675;0.1015;2.2988
Sebastes constellatus;38.1;0.094;1.5206
Sebastes emphaeus;15.4;0.6195;5.0801
Sebastes fasciatus;42.175;0.111;1.9378
Sebastes inermis;29.6;0.25;3.3466
Sebastes jordani;31.5;0.275;3.8571
Sebastes levis;86.9;0.0524;1.5732
Sebastes melanops;44.2;0.33;5.9672
Sebastes mentella;45.325;0.1025;1.8887
Sebastes mystinus;37.2;0.17067;2.7117
Sebastes norvegicus;52.779;0.086714;1.7911
Sebastes polyspinis;35.979;0.19089;2.9581
Sebastes semicinctus;16.35;0.411;3.5251
Sebastes steindachneri;46.2;0.09;1.6823
Sebastes variabilis;46.383;0.22383;4.1965
Sebastes variegatus;30.26;0.1505;2.0482
Sebastes zacentrus;31.71;0.1445;2.0368
Sebastiscus marmoratus;29.2;0.335;4.4389
Seriola dumerili;148.72;0.2174;9.7663
Seriola lalandi;134.1;0.15367;6.3877
Seriola quinqueradiata;116;0.327;12.192
Seriolella punctata;53.15;0.37;7.6828
Serranus atricauda;49.5;0.11;2.1654
Serranus cabrilla;28.532;0.23342;3.0396
Serranus hepatus;13.186;0.36214;2.6433
Serranus scriba;28.225;0.20175;2.606
Siganus canaliculatus;25.9;1.5443;18.702
Siganus guttatus;28.133;1.4463;18.637
Siganus luridus;28.75;0.2715;3.5558
Siganus rivulatus;27.625;0.24875;3.1618
Siganus spinus;24.4;2.321;26.879
Siganus sutor;52.1;0.511;10.453
Siganus vermiculatus;26.05;1.63;19.826
Sillaginopsis panijus;153;0.054;2.478
Solea aegyptiaca;34.2;0.475;7.0861
Solea solea;37.389;0.35542;5.6689
Sparisoma cretense;37;0.229;3.6239
Sparisoma frondosum;36;0.33;5.116
Sparisoma viride;30.067;0.62333;8.4426
Sparodon durbanensis;102;0.09;3.0471
Sparus aurata;56.217;0.33783;7.3163
Sphyraena argentea;140;0.139;5.9676
Sphyraena chrysotaenia;26.05;0.4875;5.9296
Sphyraena flavicauda;44.6;0.296;5.3887
Sphyraena jello;148;0.1;4.476
Sphyraena viridensis;100.6;0.089;2.9822
Spicara maena;18.798;0.34867;3.3204
Spicara smaris;19.569;0.68115;6.6852
Spirinchus thaleichthys;19;0.43;4.1279
Spondyliosoma cantharus;39.479;0.24029;3.992
Spratelloides delicatulus;7.3;4.58;21.456
Spratelloides lewisi;6.25;5.42;22.6
Sprattus fuegensis;17.7;0.78;7.1001
Sprattus sprattus;13.859;0.48163;3.6492
Stenobrachius leucopsarus;12.4;0.287;2.0005
Stenobrachius nannochir;13;0.42;3.0332
Stephanolepis hispidus;26.433;0.39;4.7959
Stolephorus carpentariae;7.06;7.09;32.392
Stolephorus commersonnii;38.1;0.77;12.456
Stolephorus insularis;7.17;3.68;17.009
Stolephorus nelsoni;9.98;2.87;16.999
Symphodus cinereus;12.85;0.357;2.5559
Symphodus roissali;16.5;0.346;2.988
Symphodus rostratus;14.2;0.363;2.801
Symphodus tinca;29.08;0.3706;4.8955
Symphurus plagiusa;19.4;0.3025;2.9496
Synapturichthys kleinii;41.2;0.3445;5.9095
Synodus myops;41.567;0.25867;4.4667
Synodus saurus;38.04;0.195;3.1507
Tactostoma macropus;29.2;0.33;4.3726
Takifugu rubripes;60.925;0.391;8.9942
Tanakius kitaharae;34;0.16;2.3764
Tautoga onitis;73.3;0.0875;2.3122
Tenualosa reevesii;57.3;0.268;5.8877
Thaleichthys pacificus;19.3;0.34;3.3025
Theragra chalcogramma;61.676;0.30435;7.0656
Thryssa aestuaria;14.7;1.56;12.354
Thryssa hamiltonii;22.1;1.2767;13.727
Thryssa setirostris;18.6;2.77;26.17
Thunnus alalunga;102.63;0.30838;10.488
Thunnus atlanticus;85.533;0.282;8.3665
Thunnus orientalis;320.5;0.1035;8.2699
Thunnus thynnus;375.57;0.070083;6.307
Thunnus tonggol;99.7;0.23;7.6549
Thyrsites atun;91;0.42;13.053
Trachinotus falcatus;75.6;0.335;9.06
Trachurus capensis;48.696;0.41093;7.9907
Trachurus declivis;36.3;0.29;4.524
Trachurus indicus;29.1;0.2905;3.8393
Trachurus japonicus;40.175;0.445;7.4906
Trachurus mediterraneus;35.3;0.24543;3.7493
Trachurus trachurus;40.938;0.21663;3.6982
Trachyrincus scabrus;22.475;0.15725;1.7122
Trematomus bernacchii;31.2;0.09;1.2533
Trematomus eulepidotus;24.933;0.13333;1.5693
Trematomus hansoni;36.5;0.08;1.2531
Trematomus lepidorhinus;26.1;0.12;1.4617
Trematomus loennbergii;28.55;0.105;1.368
Trematomus newnesi;19.5;0.36;3.5239
Trematomus nicolai;37.5;0.08;1.2788
Trematomus pennellii;28.05;0.1;1.2857
Trematomus scotti;13.7;0.13;0.97651
Trichiurus lepturus;70.957;0.41725;10.761
Trichiurus nanhaiensis;55.75;0.263;5.6602
Trigla lyra;65.7;0.1395;3.3958
Trigloporus lastoviza;36.05;0.208;3.228
Triglops forficatus;38.8;0.21;3.4438
Triglops pingelii;27.3;0.19;2.3937
Triglops scepticus;39;0.11;1.8109
Trisopterus luscus;41.65;0.3505;6.0616
Trisopterus minutus;27.167;0.43233;5.4267
Ulvaria subbifurcata;17;0.186;1.6426
Umbrina canosai;36.922;0.3145;4.9691
Umbrina roncador;30.6;0.288;3.9525
Upeneus moluccensis;23.4;0.23;2.5813
Upeneus pori;20.37;0.262;2.6499
Uranoscopus scaber;44.5;0.148;2.6898
Urophycis tenuis;110;0.162;5.8043
Verasper moseri;68.65;0.3805;9.5725
Verasper variegatus;67.4;0.27;6.6996
Xiphias gladius;205.17;0.2455;14.039
Xyrichtys novacula;20.45;0.5445;5.5234
Zaprora silenus;105.05;0.1355;4.6901
Zebrasoma flavescens;16.75;0.275;2.4018
Zebrasoma scopas;13.3;0.425;3.1223
Zeus faber;54.737;0.17933;3.8068
Zoarces americanus;91;0.076;2.362
Zoarces viviparus;32.9;0.32967;4.7771
