F_name;Linf;K;A
Coregonus albula;18.95;0.573;5.4898
Coregonus peled;51.5;0.16;3.2446
Coregonus pidschian;59.3;0.11;2.4796
Coregonus ussuriensis;61;0.28;6.4468
Coris auricularis;43.1;0.205;3.6375
Coris julis;25.867;0.14567;1.7624
Coryphaena equiselis;53.9;0.5;10.492
Coryphaena hippurus;115.57;1.5594;57.982
Coryphaenoides acrolepis;86.6;0.48;14.374
Coryphaenoides cinereus;56;0.37;7.9898
Coryphaenoides guentheri;23.7;0.211;2.3908
Coryphaenoides mediterraneus;23.7;0.201;2.2774
Coryphaenoides rupestris;45.625;0.08075;1.4953
Ctenochaetus striatus;17;0.9;7.9482
Cyclopsetta querna;60.7;0.245;5.6202
Cyclopterus lumpus;55;0.12;2.5565
Cynoglossus canariensis;52.75;0.34;7.02
Cynoglossus robustus;41.35;0.47475;8.1661
Cynoscion arenarius;33.705;0.325;4.7956
Cynoscion leiarchus;45.4;0.35;6.4573
Cynoscion nebulosus;69.15;0.2;5.059
Cynoscion regalis;68.425;0.23625;5.9289
Cynoscion stolzmanni;96.7;0.318;10.344
Dasycottus setiger;56.7;0.11;2.3976
Decapterus punctatus;16.1;4.38;37.135
Decapterus russelli;24.8;0.56;6.5648
Deltentosteus quadrimaculatus;10.3;0.371;2.2501
Dentex angolensis;46.4;0.22;4.1257
Dentex dentex;96.25;0.0745;2.4149
Dentex gibbosus;102.33;0.14;4.7515
Dentex macrophthalmus;28.867;0.24033;3.1572
Dentex maroccanus;32.35;0.2525;3.6129
Dentex tumifrons;40.85;0.311;5.3009
Diagramma pictum;69.133;0.23;5.8168
Diaphus dumerilii;7.5;1.825;8.7247
Dicentrarchus labrax;76.207;0.20337;5.5331
Dicentrarchus punctatus;103;0.066;2.2509
Diplodus annularis;19.983;0.32342;3.2244
Diplodus capensis;30.9;0.247;3.4147
Diplodus cervinus;64.1;0.1305;3.1185
Diplodus puntazzo;23.2;0.472;5.2632
Diplodus sargus cadenati;44.7;0.147;2.6806
Diplodus sargus sargus;44.2;0.18;3.2548
Diplodus vulgaris;30.24;0.28222;3.839
Dissostichus eleginoides;139.67;0.094333;4.0427
Dissostichus mawsoni;183;0.09;4.7236
Drepane punctata;46.5;0.19;3.5689
Dules auriga;17.8;0.641;5.8596
Electrona antarctica;11.315;0.21;1.3666
Eleginops maclovinus;196;0.07;3.868
Emmelichthys nitidus nitidus;28.8;0.245;3.2129
Encrasicholina devisi;7.5667;2.1667;10.427
Encrasicholina heteroloba;8.5667;2.3627;12.48
Encrasicholina purpurea;11.4;1.737;11.368
Engraulis anchoita;22.3;0.3;3.2474
Engraulis encrasicolus;16.745;0.63482;5.5432
Engraulis japonicus;20.114;0.93657;9.3834
Engraulis mordax;15.618;0.56982;4.7223
Engraulis ringens;16.9;1.6;14.068
Eopsetta grigorjewi;34.2;0.265;3.9533
Epinephelus adscensionis;37.5;0.37;5.9145
Epinephelus aeneus;204.3;0.039;2.2231
Epinephelus areolatus;72.75;0.142;3.7313
Epinephelus caninus;140.1;0.039;1.6753
Epinephelus chlorostigma;38.8;0.273;4.4769
Epinephelus coioides;97.9;0.14;4.5963
Epinephelus costae;72.5;0.154;4.0361
Epinephelus drummondhayi;92.9;0.125;3.9456
Epinephelus fasciatus;84.1;0.13;3.8083
Epinephelus itajara;201;0.126;7.0951
Epinephelus labriformis;33.7;0.2305;3.4008
Epinephelus marginatus;107.2;0.12;4.2171
Epinephelus morio;82.875;0.15725;4.5562
Epinephelus polyphekadion;44.7;0.251;4.5772
Epinephelus striatus;97.4;0.183;5.985
Epinephelus tauvina;150;0.09;4.0691
Equulites klunzingeri;10.55;0.285;1.7598
Erilepis zonifer;186.3;0.0744;3.9575
Erythrocles schlegelii;30.8;0.3;4.1374
Etelis carbunculus;89.6;0.28;8.6016
Etropus crossotus;18.7;1.745;16.553
Etrumeus golanii;29.9;0.28;3.7766
Etrumeus sadina;27.3;0.59733;7.5254
Etrumeus whiteheadi;30;0.707;9.5599
Eubleekeria splendens;14;1.083;8.2683
Eucinostomus gula;21.4;0.34;3.5685
Eugerres plumieri;36.8;0.32;5.0434
Euthynnus affinis;84.1;0.725;21.239
Euthynnus alletteratus;82.7;0.505;14.609
Eutrigla gurnardus;26.4;0.219;2.6905
Gadiculus argenteus;19.7;0.19;1.8741
Gadiculus thori;15.5;0.693;5.7105
Gadus macrocephalus;94.933;0.18233;5.8495
Gadus morhua;104.67;0.17019;5.8749
Gaidropsarus guttatus;24.23;1.219;14.043
Gasterosteus aculeatus;5.8333;2.7967;11.073
Genidens barbus;63.8;0.129;3.0718
Genypterus capensis;118.9;0.1495;5.6783
Gerres cinereus;36;0.341;5.2866
Gerres longirostris;20;1.15;11.473
Girella punctata;38;0.244;3.9393
Girella tricuspidata;40.9;0.214;3.6509
Glaucosoma buergeri;51.5;0.1365;2.7681
Glyptocephalus cynoglossus;63.8;0.111;2.6432
Glyptocephalus stelleri;55.9;0.14;3.0191
Glyptocephalus zachirus;38.75;0.26067;4.2707
Gnathanodon speciosus;104;0.14;4.8094
Gobius niger;15.833;0.389;3.257
Gobius vittatus;5.1;1.1;3.9379
Gymnocanthus detrisus;40.95;0.15;2.5614
Gymnocanthus pistilliger;19.5;0.3015;2.9512
Gymnocanthus tricuspis;12.5;0.3605;2.528
Gymnocranius audleyi;28.2;0.557;7.1901
Haemulon aurolineatum;25.794;0.26992;3.2589
Haemulon plumierii;33.1;0.38;5.5315
Helicolenus dactylopterus;31;0.16571;2.2965
Helicolenus percoides;43.95;0.111;1.9986
Hemerocoetes monopterygius;27.35;0.285;3.5955
Herklotsichthys quadrimaculatus;12.6;2;14.109
Hexagrammos agrammus;17.35;0.485;4.3492
Hilsa kelee;21.5;1.1;11.585
Hippocampus erectus;21.4;0.34;3.5685
Hippocampus guttulatus;19.8;0.571;5.6536
Hippocampus trimaculatus;16.2;0.49;4.1737
Hippoglossoides dubius;80.671;0.10043;2.8516
Hippoglossoides platessoides;73.15;0.07;1.8469
Hippoglossoides robustus;19.3;0.2225;2.1612
Hippoglossus stenolepis;190.7;0.05;2.7066
Hipposcarus harid;44.6;0.17;3.0949
Hirundichthys affinis;30.2;1.8225;24.766
Hoplostethus atlanticus;37.2;0.0655;1.0407
Hoplostethus mediterraneus;24.2;0.092;1.0589
Hymenocephalus italicus;5.4067;0.19867;0.74304
Hyperoglyphe antarctica;83.6;0.308;8.9825
Hypoptychus dybowskii;6.465;3.8325;16.391
Hyporhamphus australis;31;0.96;13.304
Hyporhamphus melanochir;37.7;0.5235;8.4016
Hyporhamphus unifasciatus;30.4;1.46;19.939
Hyporthodus niveatus;116.2;0.10125;3.78
Hyporthodus octofasciatus;117;0.11;4.1278
Hyporthodus quernus;97.65;0.138;4.5219
Icelus canaliculatus;21.4;0.37;3.8833
Icelus perminovi;19.75;0.23;2.273
Icelus spiniger;29.25;0.135;1.7911
Inimicus japonicus;32.4;0.209;2.994
Istiophorus albicans;147;0.301;13.404
Istiophorus platypterus;204;0.752;42.819
Jaydia lineata;9.65;0.805;4.6492
Kajikia audax;301;0.22;16.77
Kareius bicoloratus;46.125;0.25625;4.7842
Kathetostoma giganteum;68.25;0.1725;4.3207
Katsuwonus pelamis;99.85;0.2735;9.113
Labrus merula;34.2;0.358;5.3406
Lachnolaimus maximus;56.033;0.3;6.4811
Lactarius lactarius;31.455;1.08;15.132
Laemonema longipes;69.1;0.165;4.1714
Lagocephalus inermis;54;0.53;11.137
Lagocephalus sceleratus;102;0.189;6.3989
Lagodon rhomboides;21.167;0.553;5.7565
Lampris guttatus;119;0.218;8.2853
Lateolabrax japonicus;81.5;0.209;5.9801
Latimeria chalumnae;150;0.26;11.755
Latris lineata;53.3;0.43;8.9476
Leiognathus equulus;16;0.354;2.9873
Leiostomus xanthurus;24.1;0.725;8.3184
Lepidophanes guentheri;7.3;1.825;8.5496
Lepidopsetta bilineata;45.35;0.151;2.7836
Lepidopsetta polyxystra;40.55;0.2485;4.2122
Lepidopus caudatus;182.23;0.30833;16.132
Lepidorhombus boscii;37.679;0.19951;3.2006
Lepidorhombus whiffiagonis;50.937;0.18536;3.728
Lepidotrigla cavillone;11.45;0.455;2.9875
Lestrolepis japonica;17.2;1.776;15.823
Lethrinus borbonicus;25.1;0.79;9.3449
Lethrinus enigmaticus;49.65;0.164;3.2357
Lethrinus lentjan;34.033;0.56833;8.4474
